﻿Name;Description;Price;Time;DayOfTheWeek;MaxPeople;ISLevel;IDCategory
Побег из тюрьмы;Спланируйте идеальный побег;2500,00;60;30;5;2;1
Убийство в отеле;Раскройте загадочное убийство;3000,00;75;30;6;3;2
Волшебный лес;Найдите магический артефакт;2000,00;45;30;6;1;3
Ограбление банка;Совершите идеальное ограбление;3200,00;80;30;5;3;1
Секрет пирамиды;Разгадайте тайны пирамиды;2800,00;70;30;4;2;1
Космическая станция;Спасите станцию от катастрофы;3300,00;85;30;6;3;4
Сокровища пиратов;Найдите клад на острове;2200,00;50;30;5;1;1
Шпионская миссия;Выполните секретное задание;2900,00;70;30;4;2;2
Магическая академия;Станьте студентом магии;2400,00;55;30;6;1;3
Лаборатория будущего;Создайте изобретение;3100,00;75;30;9;3;4
Поиск Атлантиды;Найдите затерянный город;2600,00;65;30;11;2;1
Дело Шерлока Холмса;Помогите детективу;2700,00;60;30;10;2;2
ограбление пушки;;3432,00;976;15;3;1;2
ываыв;;2432,00;982;15;3;1;2
